,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
441,c458,25,37.75314964,2,Ramicane,Female,23,20
442,c458,30,38.34200823,2,Ramicane,Female,23,20
443,q610,0,45.0,0,Ramicane,Female,18,21
444,q610,5,45.62949421,0,Ramicane,Female,18,21
445,q610,10,44.99148471,0,Ramicane,Female,18,21
446,q610,15,45.88902756,0,Ramicane,Female,18,21
447,q610,20,46.58543347,0,Ramicane,Female,18,21
448,q610,25,40.14645019,0,Ramicane,Female,18,21
449,q610,30,40.66834256,1,Ramicane,Female,18,21
450,q610,35,36.56165229,2,Ramicane,Female,18,21
451,j913,0,45.0,0,Ramicane,Female,4,17
452,j913,5,44.01490022,0,Ramicane,Female,4,17
453,j913,10,44.49716216,0,Ramicane,Female,4,17
454,j913,15,45.25253427,0,Ramicane,Female,4,17
455,j913,20,42.16834132,0,Ramicane,Female,4,17
456,j913,25,37.86066936,0,Ramicane,Female,4,17
457,j913,30,34.75724046,0,Ramicane,Female,4,17
458,j913,35,35.17014843,0,Ramicane,Female,4,17
459,j913,40,31.00186078,1,Ramicane,Female,4,17
460,j913,45,31.56046955,1,Ramicane,Female,4,17
461,a411,0,45.0,0,Ramicane,Male,3,22
462,a411,5,45.46667714,0,Ramicane,Male,3,22
463,a411,10,40.75978762,1,Ramicane,Male,3,22
464,a411,15,41.48416885,1,Ramicane,Male,3,22
465,a411,20,38.08737318,1,Ramicane,Male,3,22
466,a411,25,38.7014384,1,Ramicane,Male,3,22
467,a411,30,39.13073724,1,Ramicane,Male,3,22
468,a411,35,39.71723589,1,Ramicane,Male,3,22
469,a411,40,40.25881765,1,Ramicane,Male,3,22
470,a411,45,38.4076183,1,Ramicane,Male,3,22
471,a444,0,45.0,0,Ramicane,Female,10,25
472,a444,5,44.00597487,0,Ramicane,Female,10,25
473,a444,10,44.51255951,0,Ramicane,Female,10,25
474,a444,15,43.00127957,0,Ramicane,Female,10,25
475,a444,20,41.71461874,0,Ramicane,Female,10,25
476,a444,25,42.29139437,0,Ramicane,Female,10,25
477,a444,30,42.78627835,0,Ramicane,Female,10,25
478,a444,35,41.73595083,0,Ramicane,Female,10,25
479,a444,40,42.50492554,0,Ramicane,Female,10,25
480,a444,45,43.0475426,0,Ramicane,Female,10,25
481,d251,0,45.0,0,Ramicane,Female,8,19
482,d251,5,41.74635495,1,Ramicane,Female,8,19
483,d251,10,42.43225791,1,Ramicane,Female,8,19
484,d251,15,39.47278744,1,Ramicane,Female,8,19
485,d251,20,37.65209085,1,Ramicane,Female,8,19
486,d251,25,38.09751328,1,Ramicane,Female,8,19
487,d251,30,38.71825638,2,Ramicane,Female,8,19
488,d251,35,37.70852942,2,Ramicane,Female,8,19
489,d251,40,38.26540379,2,Ramicane,Female,8,19
490,d251,45,37.31123552,2,Ramicane,Female,8,19
491,j989,0,45.0,0,Ramicane,Male,8,19
492,j989,5,45.62071835,1,Ramicane,Male,8,19
493,j989,10,46.34383237,1,Ramicane,Male,8,19
494,j989,15,41.12835439,1,Ramicane,Male,8,19
495,j989,20,41.63534426,1,Ramicane,Male,8,19
496,j989,25,39.93411249,1,Ramicane,Male,8,19
497,j989,30,34.67178107,1,Ramicane,Male,8,19
498,j989,35,35.1155898,1,Ramicane,Male,8,19
499,j989,40,35.50119014,1,Ramicane,Male,8,19
500,j989,45,36.13485243,1,Ramicane,Male,8,19
501,y449,0,45.0,0,Ramicane,Male,19,24
502,y449,5,45.87754494,0,Ramicane,Male,19,24
503,y449,10,46.37809248,0,Ramicane,Male,19,24
504,y449,15,44.18345092,0,Ramicane,Male,19,24
505,k403,0,45.0,0,Ramicane,Male,21,16
506,k403,5,38.82589807,0,Ramicane,Male,21,16
507,k403,10,35.01427146,1,Ramicane,Male,21,16
508,k403,15,34.22399174,1,Ramicane,Male,21,16
509,k403,20,32.99772858,1,Ramicane,Male,21,16
510,k403,25,33.46457735,1,Ramicane,Male,21,16
511,k403,30,31.09949753,1,Ramicane,Male,21,16
512,k403,35,26.54699343,1,Ramicane,Male,21,16
513,k403,40,24.36550471,1,Ramicane,Male,21,16
514,k403,45,22.05012627,1,Ramicane,Male,21,16
515,c758,0,45.0,0,Ramicane,Male,9,17
516,c758,5,45.5786783,0,Ramicane,Male,9,17
517,c758,10,46.28799223,0,Ramicane,Male,9,17
518,c758,15,46.94094512,1,Ramicane,Male,9,17
519,c758,20,43.1263114,1,Ramicane,Male,9,17
520,c758,25,43.6022673,1,Ramicane,Male,9,17
521,c758,30,44.11827028,1,Ramicane,Male,9,17
522,c758,35,37.80238546,1,Ramicane,Male,9,17
523,c758,40,32.83318858,1,Ramicane,Male,9,17
524,c758,45,33.39765251,1,Ramicane,Male,9,17
535,r811,0,45.0,0,Ramicane,Male,9,19
536,r811,5,45.62580225,0,Ramicane,Male,9,19
537,r811,10,39.453903,0,Ramicane,Male,9,19
538,r811,15,40.02229235,0,Ramicane,Male,9,19
539,r811,20,40.7728027,0,Ramicane,Male,9,19
540,r811,25,37.61401068,0,Ramicane,Male,9,19
541,r811,30,38.24206639,0,Ramicane,Male,9,19
542,r811,35,36.00302016,1,Ramicane,Male,9,19
543,r811,40,36.5200329,1,Ramicane,Male,9,19
544,r811,45,37.22565033,1,Ramicane,Male,9,19
545,a644,0,45.0,0,Ramicane,Female,7,17
546,a644,5,45.55015754,0,Ramicane,Female,7,17
547,a644,10,46.38071258,0,Ramicane,Female,7,17
548,a644,15,46.91089166,0,Ramicane,Female,7,17
549,a644,20,45.86506461,0,Ramicane,Female,7,17
550,a644,25,41.48122408,0,Ramicane,Female,7,17
551,a644,30,37.21112063,0,Ramicane,Female,7,17
552,a644,35,35.12863083,0,Ramicane,Female,7,17
553,a644,40,35.77945086,0,Ramicane,Female,7,17
554,a644,45,32.97852192,1,Ramicane,Female,7,17
555,i177,0,45.0,0,Ramicane,Male,10,18
556,i177,5,44.06539783,0,Ramicane,Male,10,18
557,i177,10,41.02092924,0,Ramicane,Male,10,18
558,i177,15,40.33093479,0,Ramicane,Male,10,18
559,i177,20,35.34536136,0,Ramicane,Male,10,18
560,i177,25,34.0821803,1,Ramicane,Male,10,18
561,i177,30,34.71147302,1,Ramicane,Male,10,18
562,i177,35,35.1521662,1,Ramicane,Male,10,18
563,i177,40,35.55793279,2,Ramicane,Male,10,18
564,i177,45,33.56240217,3,Ramicane,Male,10,18
565,g791,0,45.0,0,Ramicane,Male,11,16
566,g791,5,45.85153062,0,Ramicane,Male,11,16
567,g791,10,40.17055848,0,Ramicane,Male,11,16
568,g791,15,40.67812852,0,Ramicane,Male,11,16
569,g791,20,41.211897,0,Ramicane,Male,11,16
570,g791,25,35.56939935,1,Ramicane,Male,11,16
571,g791,30,34.95258284,1,Ramicane,Male,11,16
572,g791,35,30.96039194,1,Ramicane,Male,11,16
573,g791,40,31.36940573,1,Ramicane,Male,11,16
574,g791,45,29.12847181,1,Ramicane,Male,11,16
575,a520,0,45.0,0,Ramicane,Male,13,21
576,a520,5,38.72370695,0,Ramicane,Male,13,21
577,a520,10,36.42938781,0,Ramicane,Male,13,21
578,a520,15,35.590254,0,Ramicane,Male,13,21
579,a520,20,35.94774514,0,Ramicane,Male,13,21
580,a520,25,36.55858129,1,Ramicane,Male,13,21
581,a520,30,36.94770981,1,Ramicane,Male,13,21
582,a520,35,37.62471026,1,Ramicane,Male,13,21
583,a520,40,38.25972497,1,Ramicane,Male,13,21
584,a520,45,38.81036633,1,Ramicane,Male,13,21
585,u196,0,45.0,0,Ramicane,Male,18,25
586,u196,5,45.55746444,1,Ramicane,Male,18,25
587,u196,10,46.42294306,1,Ramicane,Male,18,25
588,u196,15,47.22717065,1,Ramicane,Male,18,25
589,u196,20,46.10536303,1,Ramicane,Male,18,25
590,u196,25,46.7053254,1,Ramicane,Male,18,25
591,u196,30,47.62281636,2,Ramicane,Male,18,25
592,u196,35,47.00146542,2,Ramicane,Male,18,25
593,u196,40,43.45368679,2,Ramicane,Male,18,25
594,u196,45,40.66771292,3,Ramicane,Male,18,25
595,m546,0,45.0,0,Ramicane,Male,18,16
596,m546,5,42.99887638,0,Ramicane,Male,18,16
597,m546,10,43.74822357,0,Ramicane,Male,18,16
598,m546,15,39.89743533,0,Ramicane,Male,18,16
599,m546,20,36.71229535,0,Ramicane,Male,18,16
600,m546,25,37.44444543,0,Ramicane,Male,18,16
601,m546,30,37.96993365,0,Ramicane,Male,18,16
602,m546,35,38.62753581,1,Ramicane,Male,18,16
603,m546,40,35.1145752,1,Ramicane,Male,18,16
604,m546,45,30.56462509,1,Ramicane,Male,18,16
605,w678,0,45.0,0,Ramicane,Female,5,24
606,w678,5,43.16637266,0,Ramicane,Female,5,24
607,n364,0,45.0,0,Ramicane,Male,4,17
608,n364,5,45.52187471,0,Ramicane,Male,4,17
609,n364,10,40.3751382,0,Ramicane,Male,4,17
610,n364,15,36.94027399,0,Ramicane,Male,4,17
611,n364,20,37.4788685,0,Ramicane,Male,4,17
612,n364,25,33.20500824,0,Ramicane,Male,4,17
613,n364,30,33.817758,0,Ramicane,Male,4,17
614,n364,35,34.48752204,1,Ramicane,Male,4,17
615,n364,40,34.95473311,1,Ramicane,Male,4,17
616,n364,45,31.09533505,1,Ramicane,Male,4,17
617,s508,0,45.0,0,Ramicane,Male,1,17
618,s508,5,38.71187185,0,Ramicane,Male,1,17
619,s508,10,34.8509979,0,Ramicane,Male,1,17
620,s508,15,35.27690634,0,Ramicane,Male,1,17
621,s508,20,35.92865083,0,Ramicane,Male,1,17
622,s508,25,36.33856894,0,Ramicane,Male,1,17
623,s508,30,35.47402235,0,Ramicane,Male,1,17
624,s508,35,35.8461407,0,Ramicane,Male,1,17
625,s508,40,32.79817119,0,Ramicane,Male,1,17
626,s508,45,30.27623175,0,Ramicane,Male,1,17
627,e662,0,45.0,0,Ramicane,Male,8,24
628,e662,5,45.81628252,0,Ramicane,Male,8,24
629,e662,10,46.40908385,0,Ramicane,Male,8,24
630,e662,15,43.55377339,0,Ramicane,Male,8,24
631,e662,20,44.0012958,0,Ramicane,Male,8,24
632,e662,25,44.66459432,1,Ramicane,Male,8,24
633,e662,30,45.35023242,1,Ramicane,Male,8,24
634,e662,35,43.22027636,1,Ramicane,Male,8,24
635,e662,40,44.00672385,2,Ramicane,Male,8,24
636,e662,45,40.65900627,2,Ramicane,Male,8,24
637,z578,0,45.0,0,Ramicane,Male,11,16
638,z578,5,42.18878662,0,Ramicane,Male,11,16
639,z578,10,42.95211843,0,Ramicane,Male,11,16
640,z578,15,38.68851607,0,Ramicane,Male,11,16
641,z578,20,36.89001635,0,Ramicane,Male,11,16
642,z578,25,37.41411419,0,Ramicane,Male,11,16
643,z578,30,37.81593487,0,Ramicane,Male,11,16
644,z578,35,38.50482444,0,Ramicane,Male,11,16
645,z578,40,34.02209336,0,Ramicane,Male,11,16
646,z578,45,30.63869575,0,Ramicane,Male,11,16
647,r921,0,45.0,0,Ramicane,Female,5,25
648,r921,5,45.56821083,0,Ramicane,Female,5,25
649,r921,10,42.71192694,0,Ramicane,Female,5,25
650,r921,15,43.52726054,0,Ramicane,Female,5,25
651,r921,20,44.13631588,0,Ramicane,Female,5,25
652,r921,25,42.65534089,1,Ramicane,Female,5,25
653,r921,30,43.41938077,1,Ramicane,Female,5,25
876,v719,0,45.0,0,Infubinol,Female,17,30
877,v719,5,47.18836325,0,Infubinol,Female,17,30
878,v719,10,51.49705412,1,Infubinol,Female,17,30
879,v719,15,52.60910758,1,Infubinol,Female,17,30
880,v719,20,54.04860769,1,Infubinol,Female,17,30
881,q597,0,45.0,0,Ramicane,Male,20,25
882,q597,5,45.76611104,0,Ramicane,Male,20,25
883,q597,10,42.53798598,0,Ramicane,Male,20,25
884,q597,15,41.39566036,0,Ramicane,Male,20,25
885,q597,20,41.9255866,0,Ramicane,Male,20,25
886,q597,25,42.57570709,1,Ramicane,Male,20,25
887,q597,30,43.33916123,1,Ramicane,Male,20,25
888,q597,35,43.80720142,1,Ramicane,Male,20,25
889,q597,40,44.47182121,2,Ramicane,Male,20,25
890,q597,45,45.22086888,2,Ramicane,Male,20,25
891,c895,0,45.0,0,Infubinol,Female,7,29
892,c895,5,45.47754399,0,Infubinol,Female,7,29
893,c895,10,49.77901542,0,Infubinol,Female,7,29
894,c895,15,52.94946474,1,Infubinol,Female,7,29
895,c895,20,53.6768396,2,Infubinol,Female,7,29
896,c895,25,57.53419288,2,Infubinol,Female,7,29
897,c895,30,60.96971133,2,Infubinol,Female,7,29
898,a203,0,45.0,0,Infubinol,Female,20,23
899,a203,5,48.5084684,0,Infubinol,Female,20,23
900,a203,10,51.8524372,1,Infubinol,Female,20,23
901,a203,15,52.7778705,1,Infubinol,Female,20,23
902,a203,20,55.17333648,1,Infubinol,Female,20,23
903,a203,25,56.79320832,1,Infubinol,Female,20,23
904,a203,30,59.52319728,1,Infubinol,Female,20,23
905,a203,35,61.93165007,2,Infubinol,Female,20,23
906,a203,40,63.59349002,2,Infubinol,Female,20,23
907,a203,45,67.97341878,2,Infubinol,Female,20,23
1304,x822,0,45.0,0,Ceftamin,Male,3,29
1305,x822,5,45.67110442,1,Ceftamin,Male,3,29
1306,x822,10,48.98371668,1,Ceftamin,Male,3,29
1307,x822,15,49.69466533,1,Ceftamin,Male,3,29
1308,x822,20,51.91490968,2,Ceftamin,Male,3,29
1309,x822,25,54.04133326,2,Ceftamin,Male,3,29
1310,x822,30,55.44515483,2,Ceftamin,Male,3,29
1311,x822,35,56.79656665,2,Ceftamin,Male,3,29
1312,x822,40,59.55568466,2,Ceftamin,Male,3,29
1313,x822,45,61.38666032,3,Ceftamin,Male,3,29
1314,l558,0,45.0,0,Ceftamin,Female,13,30
1315,l558,5,45.80908882,0,Ceftamin,Female,13,30
1316,l558,10,46.78453491,0,Ceftamin,Female,13,30
1317,l733,0,45.0,0,Ceftamin,Female,4,30
1318,l733,5,46.17422627,0,Ceftamin,Female,4,30
1319,l733,10,48.35495154,0,Ceftamin,Female,4,30
1320,l733,15,49.28519504,0,Ceftamin,Female,4,30
1321,l733,20,53.24431157,1,Ceftamin,Female,4,30
1322,l733,25,54.95166826,1,Ceftamin,Female,4,30
1323,l733,30,56.31906537,1,Ceftamin,Female,4,30
1324,l733,35,57.60079774,1,Ceftamin,Female,4,30
1325,l733,40,59.4435065,1,Ceftamin,Female,4,30
1326,l733,45,64.29983003,1,Ceftamin,Female,4,30
1327,f436,0,45.0,0,Ceftamin,Female,3,25
1328,f436,5,46.37079759,1,Ceftamin,Female,3,25
1329,f436,10,48.14697758,2,Ceftamin,Female,3,25
1330,f436,15,48.72207785,2,Ceftamin,Female,3,25
1331,l490,0,45.0,0,Ceftamin,Male,24,26
1332,l490,5,45.61253918,1,Ceftamin,Male,24,26
1333,l490,10,47.25960594,1,Ceftamin,Male,24,26
1334,l490,15,50.52481268,1,Ceftamin,Male,24,26
1335,l490,20,51.90544699,1,Ceftamin,Male,24,26
1336,l490,25,55.81003359,2,Ceftamin,Male,24,26
1337,l490,30,57.91838132,3,Ceftamin,Male,24,26
1338,b759,0,45.0,0,Ceftamin,Female,12,25
1339,b759,5,48.00919049,0,Ceftamin,Female,12,25
1340,b759,10,49.13335499,0,Ceftamin,Female,12,25
1341,b759,15,51.58779906,0,Ceftamin,Female,12,25
1342,b759,20,54.44303502,0,Ceftamin,Female,12,25
1343,b759,25,55.08363235,0,Ceftamin,Female,12,25
1344,b759,30,55.74282869,1,Ceftamin,Female,12,25
1345,l471,0,45.0,0,Ceftamin,Female,7,28
1346,l471,5,46.25187204,0,Ceftamin,Female,7,28
1347,l471,10,48.18206306,0,Ceftamin,Female,7,28
1348,l471,15,49.40687901,0,Ceftamin,Female,7,28
1349,l471,20,52.22832698,0,Ceftamin,Female,7,28
1350,l471,25,52.84755893,1,Ceftamin,Female,7,28
1351,l471,30,58.09360446,1,Ceftamin,Female,7,28
1352,l471,35,61.40599916,1,Ceftamin,Female,7,28
1353,l471,40,63.84485785,1,Ceftamin,Female,7,28
1354,l471,45,67.74866174,1,Ceftamin,Female,7,28
1355,y865,0,45.0,0,Ceftamin,Male,23,26
1356,y865,5,46.73500592,1,Ceftamin,Male,23,26
1357,y865,10,49.52273955,1,Ceftamin,Male,23,26
1358,y865,15,50.80651856,1,Ceftamin,Male,23,26
1359,y865,20,52.36198241,1,Ceftamin,Male,23,26
1360,y865,25,57.17353846,2,Ceftamin,Male,23,26
1361,y865,30,59.0332753,3,Ceftamin,Male,23,26
1362,y865,35,61.15313991,3,Ceftamin,Male,23,26
1363,y865,40,63.46954946,3,Ceftamin,Male,23,26
1364,y865,45,64.72983655,3,Ceftamin,Male,23,26
1365,y769,0,45.0,0,Ceftamin,Female,6,27
1366,y769,5,46.42265176,1,Ceftamin,Female,6,27
1367,y769,10,48.01516261,1,Ceftamin,Female,6,27
1368,y769,15,52.76102114,2,Ceftamin,Female,6,27
1369,y769,20,55.02572434,2,Ceftamin,Female,6,27
1370,y769,25,58.33595901,3,Ceftamin,Female,6,27
1371,y769,30,61.07194886,3,Ceftamin,Female,6,27
1372,y769,35,63.43063221,3,Ceftamin,Female,6,27
1373,y769,40,64.25102761,4,Ceftamin,Female,6,27
1374,y769,45,68.59474498,4,Ceftamin,Female,6,27
1375,l661,0,45.0,0,Ceftamin,Male,18,26
1376,l661,5,46.26879904,0,Ceftamin,Male,18,26
1377,l661,10,49.68361956,0,Ceftamin,Male,18,26
1378,l661,15,50.94754484,1,Ceftamin,Male,18,26
1379,l661,20,52.61749003,1,Ceftamin,Male,18,26
1380,l661,25,53.18065678,2,Ceftamin,Male,18,26
1381,l661,30,55.32909936,2,Ceftamin,Male,18,26
1382,l661,35,56.47412871,2,Ceftamin,Male,18,26
1383,l661,40,59.20566876,3,Ceftamin,Male,18,26
1384,l661,45,59.85195552,3,Ceftamin,Male,18,26
1385,j296,0,45.0,0,Ceftamin,Female,24,30
1386,j296,5,46.79925591,1,Ceftamin,Female,24,30
1387,j296,10,48.52997762,2,Ceftamin,Female,24,30
1388,j296,15,50.70127959,2,Ceftamin,Female,24,30
1389,j296,20,54.00534209,3,Ceftamin,Female,24,30
1390,j296,25,55.76714817,3,Ceftamin,Female,24,30
1391,j296,30,56.80306121,3,Ceftamin,Female,24,30
1392,j296,35,58.71448296,3,Ceftamin,Female,24,30
1393,j296,40,60.07268848,3,Ceftamin,Female,24,30
1394,j296,45,61.84902336,3,Ceftamin,Female,24,30
1395,u149,0,45.0,0,Ceftamin,Male,24,29
1396,u149,5,45.79206792,0,Ceftamin,Male,24,29
1397,u149,10,47.40483439,0,Ceftamin,Male,24,29
1398,u149,15,48.52237343,0,Ceftamin,Male,24,29
1399,u149,20,50.37805789,0,Ceftamin,Male,24,29
1400,u149,25,52.92534846,0,Ceftamin,Male,24,29
1401,u153,0,45.0,0,Ceftamin,Female,11,25
1402,w151,0,45.0,0,Ceftamin,Male,24,25
1403,w151,5,45.54607595,1,Ceftamin,Male,24,25
1404,w151,10,46.50147609,1,Ceftamin,Male,24,25
1405,w151,15,47.24292865,1,Ceftamin,Male,24,25
1406,w151,20,49.55426295,2,Ceftamin,Male,24,25
1407,w151,25,51.8690587,2,Ceftamin,Male,24,25
1408,w151,30,56.76715821,2,Ceftamin,Male,24,25
1409,w151,35,58.33914095,2,Ceftamin,Male,24,25
1410,w151,40,62.18795039,2,Ceftamin,Male,24,25
1411,w151,45,67.52748237,3,Ceftamin,Male,24,25
1412,h531,0,45.0,0,Ceftamin,Male,5,27
1413,h531,5,47.7846818,0,Ceftamin,Male,5,27
1414,a685,0,45.0,0,Infubinol,Male,8,30
1415,a685,5,46.87048256,0,Infubinol,Male,8,30
1416,a685,10,47.66475264,0,Infubinol,Male,8,30
1417,a685,15,48.95147442,0,Infubinol,Male,8,30
1418,a685,20,49.49055902,0,Infubinol,Male,8,30
1419,a685,25,51.93995092,0,Infubinol,Male,8,30
1420,a685,30,55.45385519,1,Infubinol,Male,8,30
1421,a685,35,58.09262925,1,Infubinol,Male,8,30
1422,a685,40,60.56790371,2,Infubinol,Male,8,30
1423,a685,45,66.08306589,3,Infubinol,Male,8,30
1424,o813,0,45.0,0,Infubinol,Male,24,28
1425,o813,5,45.69933088,0,Infubinol,Male,24,28
1426,m756,0,45.0,0,Infubinol,Male,19,30
1427,m756,5,47.01036401,1,Infubinol,Male,19,30
1428,n671,0,45.0,0,Infubinol,Male,18,25
1429,n671,5,47.35388938,0,Infubinol,Male,18,25
1430,n671,10,51.03935653,0,Infubinol,Male,18,25
1431,n671,15,54.21606411,0,Infubinol,Male,18,25
1432,n671,20,54.82252091,0,Infubinol,Male,18,25
1433,n671,25,56.17445785,0,Infubinol,Male,18,25
1434,n671,30,60.16518046,0,Infubinol,Male,18,25
1435,s121,0,45.0,0,Infubinol,Male,23,26
1436,s121,5,45.63566174,1,Infubinol,Male,23,26
1437,s121,10,49.04883479,1,Infubinol,Male,23,26
1438,s121,15,50.82456031,2,Infubinol,Male,23,26
1439,s121,20,52.0050659,2,Infubinol,Male,23,26
1440,s121,25,55.65068132,2,Infubinol,Male,23,26
1441,v766,0,45.0,0,Infubinol,Male,16,27
1442,v766,5,48.15125091,1,Infubinol,Male,16,27
1443,v766,10,50.36310988,1,Infubinol,Male,16,27
1444,v766,15,51.54243058,1,Infubinol,Male,16,27
1445,w193,0,45.0,0,Infubinol,Male,22,30
1446,w193,5,45.49385802,0,Infubinol,Male,22,30
1447,w193,10,48.34655046,0,Infubinol,Male,22,30
1448,w193,15,49.38557373,0,Infubinol,Male,22,30
1449,w193,20,50.00513807,0,Infubinol,Male,22,30
1450,e476,0,45.0,0,Infubinol,Male,23,26
1451,e476,5,47.11180113,0,Infubinol,Male,23,26
